utterance,answer,key_words
Hi,"Hi, I'm your assistant today how can I help you today",hi
Hello,"Hi, I'm your assistant today how can I help you today",hello
Hey there,"Hi, I'm your assistant today how can I help you today",hey
Hiii,"Hi, I'm your assistant today how can I help you today",hiii
Helooo,"Hi, I'm your assistant today how can I help you today",helooo
Bye,"Hope, I was able to help you take care, bye",bye
Goodbye,"Hope, I was able to help you take care, bye",goodbye
Babye,"Hope, I was able to help you take care, bye",babye
Bye for now,"Hope, I was able to help you take care, bye",bye
Thanks bye,"Hope, I was able to help you take care, bye",thanks bye
Who are you,I'm Smart chatbot designed by <name>,Who are you
Whats your name,I'm Smart chatbot designed by <name>,name
Your name,I'm Smart chatbot designed by <name>,name
Tell me your name,I'm Smart chatbot designed by <name>,tell name
Do you any name,I'm Smart chatbot designed by <name>,name
Who is the prime minister of India,It's Narendra Modi,prime minister india
Tell me the pm name,It's Narendra Modi,tell pm name
primer minister name,It's Narendra Modi,primer minister name
name of Indian prime minister,It's Narendra Modi,name indian prime minister
Whats the name of prime minister of India,It's Narendra Modi,name prime minister india
